Brand Name,Smartphone Name,Color,RAM,Storage/ROM,Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor-Core,Battery Capacity,Price,Product Url
POCO ,"POCO C31 (Royal Blue, 64 GB)  (4 GB RAM)",Royal Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 9,999",https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBG73E7GKQK4KZP.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
POCO ,"POCO C31 (Royal Blue, 32 GB)  (3 GB RAM)",Royal Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 8,999",https://www.flipkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBDYSPVO&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBG73E7ZBHHQ3RB.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
POCO ,"POCO C31 (Shadow Gray, 64 GB)  (4 GB RAM)",Shadow Gray,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 9,999",https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHYSYSJR&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBG73E7UBFXXMCH.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
I Kall ,"I Kall Z6 Premium (Dark Blue, 64 GB)  (4 GB RAM)",Dark Blue,4 GB,64 GB,16MP Rear Camera,-,15.9 cm (6.26 inch),780x1520$$Pixels,Octa Core,Quad Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 7,499",https://www.flipkart.com/kall-z6-premium-dark-blue-64-gb/p/itm129bcd1a29313?pid=MOBGEH4XNHCB2ERE&lid=LSTMOBGEH4XNHCB2ERE53BAZ3&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=en_d1D0bSPd9Nrw0bcxqSQ1QIgAhzb43AOfo9bo%2BVceXBWq4%2FEnTduJk5AYKlnN3ba4c9BfDylWsJ9MWK9w3R0HSQ%3D%3D&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
POCO ,"POCO C31 (Shadow Gray, 32 GB)  (3 GB RAM)",Shadow Gray,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 8,999",https://www.flipkart.com/poco-c31-shadow-gray-32-gb/p/itmffefb8bb085e3?pid=MOBG73E7VZH7XHJY&lid=LSTMOBG73E7VZH7XHJYYXFO9I&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBG73E7VZH7XHJY.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
Infinix ,"Infinix HOT 12 Play (Horizon Blue, 64 GB)  (4 GB RAM)",Horizon Blue,4 GB,64 GB,13MP + Depth Lens,8MP Front Camera,17.32 cm (6.82 inch),1640 x 720 Pixels,Unisoc T610,Octa Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 8,699",https://www.flipkart.com/infinix-hot-12-play-horizon-blue-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYCFZA7BRB&lid=LSTMOBGE2KYCFZA7BRBUNTJVL&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBGE2KYCFZA7BRB.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
Infinix ,"Infinix HOT 12 Play (Daylight Green, 64 GB)  (4 GB RAM)",Daylight Green,4 GB,64 GB,13MP + Depth Lens,8MP Front Camera,17.32 cm (6.82 inch),1640 x 720 Pixels,Unisoc T610,Octa Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 8,699",https://www.flipkart.com/infinix-hot-12-play-daylight-green-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KY6JUTSNCP&lid=LSTMOBGE2KY6JUTSNCPGWOMYY&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBGE2KY6JUTSNCP.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
Infinix ,"Infinix HOT 12 Play (Racing Black, 64 GB)  (4 GB RAM)",Racing Black,4 GB,64 GB,13MP + Depth Lens,8MP Front Camera,17.32 cm (6.82 inch),1640 x 720 Pixels,Unisoc T610,Octa Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 8,699",https://www.flipkart.com/infinix-hot-12-play-racing-black-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYNTFHTXUW&lid=LSTMOBGE2KYNTFHTXUWDFJ0XM&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBGE2KYNTFHTXUW.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
REDMI ,"REDMI 9i Sport (Carbon Black, 64 GB)  (4 GB RAM)",Carbon Black,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 8,799",https://www.flipkart.com/redmi-9i-sport-carbon-black-64-gb/p/itm17ed463dc779a?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6DJKEOT&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBG6WQWRGRRDBH6.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
-,-,-,-,-,-,-,16.59 cm (6.53 inch),-,-,-,5000 mAh Lithium-ion Polymer Battery,-,https://www.flipkart.com/oppo-k10-5g-ocean-blue-128-gb/p/itm28cf887931942?pid=MOBGEWUYZ2Z9FSQG&lid=LSTMOBGEWUYZ2Z9FSQGC2YHFU&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBGEWUYZ2Z9FSQG.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
REDMI ,"REDMI 9i Sport (Coral Green, 64 GB)  (4 GB RAM)",Coral Green,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,17.02 cm (6.7 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 8,799",https://www.flipkart.com/redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGO4EIDO&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBG6WQWJRFZ5WDG.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
REDMI ,"REDMI 10 (Caribbean Green, 64 GB)  (4 GB RAM)",Caribbean Green,4 GB,64 GB,50MP + 2MP,Yes,17.02 cm (6.7 inch),1650 x 720 Pixels,Qualcomm Snapdragon 680,Octa Core,5000 mAh Lithium-ion Polymer Battery,"Rs. 10,499",https://www.flipkart.com/redmi-10-caribbean-green-64-gb/p/itmbfb8dfcdd6e10?pid=MOBGC9GYQGGKWEU3&lid=LSTMOBGC9GYQGGKWEU3NDJY6R&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=24312ecb-4403-4ff7-86cb-860f7f8d9610.MOBGC9GYQGGKWEU3.SEARCH&ppt=hp&ppn=homepage&ssid=0bqst2mghc0000001656504319726&qH=d2d7ba3c0ae30d4a
